5,4,1,3,2
"('局面', 1.0)","('学术前沿', 1.0)","('大变局', 1.0)","('咨询', 1.0)","('加载', 1.0)"
"('办学', 0.9610819635636385)","('方向', 0.9742688245073761)","('活力', 0.9496598563188741)","('危机', 0.9729344314080005)","('方式', 0.9813283108808014)"
"('启动', 0.9160985515754784)","('强国', 0.9366603491931371)","('分工', 0.9428545630692181)","('专业', 0.9391657262907688)","('接口', 0.9736101326488819)"
"('亮点', 0.9015949425290246)","('斩获', 0.927387441358502)","('物质基础', 0.9266349496238983)","('媒体', 0.9306132799041853)","('搜索引擎', 0.9165195441875378)"
"('着力', 0.8963898485497885)","('课本', 0.9085669907316155)","('高质量', 0.9092638301550051)","('语言', 0.9287164579419729)","('参数', 0.9138909029254981)"
"('校友', 0.871381381579753)","('支持', 0.899504751283717)","('阐明', 0.896318034674923)","('沉浸', 0.9100429158807903)","('错误', 0.9025286464333685)"
"('平原', 0.8656206266476455)","('做好', 0.893047089468971)","('服务', 0.8951240315477037)","('拔尖', 0.9002119205160635)","('全局', 0.8957295081802074)"
"('补充', 0.8653923619039028)","('计划', 0.8895045428446867)","('蓄力', 0.888954369560547)","('入选', 0.8779873230501785)","('函数', 0.8925659223985091)"
"('研究', 0.859807877542955)","('授课', 0.8841008275077133)","('西电东', 0.8876281640605138)","('主持', 0.875961409951689)","('方法', 0.8847606516371437)"
"('会议室', 0.8585925665027841)","('承担', 0.8775334598858248)","('生活', 0.8762321289383704)","('交互', 0.8673254284195423)","('词典', 0.8830772841477081)"
"('招收', 0.850916876731227)","('讲台', 0.8615615307148347)","('指导方针', 0.8668310899539622)","('因素', 0.8561488790356647)","('采用', 0.8830174652225699)"
"('新闻系', 0.8503829154351905)","('传授', 0.8542107022625854)","('水电', 0.866286049105111)","('毕业生', 0.8471702574182427)","('相关', 0.8779008988807704)"
"('处于', 0.8440873360642018)","('生活', 0.8530697804589177)","('战略', 0.8624652756090488)","('选取', 0.8458768094851292)","('迭代', 0.8731062260593985)"
"('系主任', 0.8310611630639518)","('调研', 0.8522665519026981)","('风能', 0.86119404342454)","('概念', 0.8419910417071823)","('词模式', 0.8722421667200354)"
"('中亚地区', 0.8290143533774532)","('治理', 0.8430603851541446)","('管理', 0.8601669857993997)","('情感', 0.8401367318815572)","('用来', 0.8651751381994358)"
"('针对性', 0.8289620614563133)","('转型', 0.8412849891926523)","('风速', 0.8593801357760675)","('沟通', 0.8393164218150269)","('输入', 0.8640536829613091)"
"('学术会议', 0.8254696041177326)","('母校', 0.8411357874635226)","('国计民生', 0.8538081762036561)","('过程', 0.836875777529475)","('循环', 0.8565901739807232)"
"('部署', 0.8242332240796023)","('管理', 0.8408616030925711)","('征程', 0.8523522172833566)","('信息资源管理', 0.8341273719637351)","('解码', 0.8557807431514597)"
"('提出', 0.8225679822815113)","('优势', 0.8389246372813572)","('开启', 0.850334598647734)","('再现', 0.8340923142919446)","('结构', 0.8547910537289701)"
"('发展', 0.8196207711382866)","('分类', 0.8385680898787384)","('制造', 0.8489383751028858)","('知识', 0.8318061779316422)","('模式', 0.8486276195445961)"
"('学科', 0.8178856116824985)","('成绩', 0.8365340819811883)","('民生', 0.8439435181900445)","('优秀成果', 0.829943506648769)","('分词器', 0.8431612605948298)"
"('开拓', 0.8170475342116174)","('面向', 0.8363510957394484)","('原则', 0.8370815747094921)","('博士学位', 0.8297765991682061)","('控制', 0.8426200623269297)"
"('创新', 0.8165189448769425)","('舆情', 0.835055528928048)","('常规', 0.8281320140026628)","('方法论', 0.8260655177159741)","('适合', 0.8146906117726084)"
"('继续加强', 0.8154107301094096)","('学科', 0.8328865104923767)","('风电', 0.8250524525641313)","('文化产业', 0.8224337374306059)","('倒排', 0.8033291180875298)"
"('提升', 0.8141016959112373)","('感知', 0.8322608621702587)","('煤炭', 0.8228281330799325)","('科研项目', 0.8210139526622369)","('延迟', 0.7808156518115698)"
"('交叉学科', 0.8082366849266276)","('能力', 0.8299225485437061)","('进程', 0.8213471700221365)","('启动', 0.817352312453631)","('代码', 0.7593208344196778)"
"('创意', 0.8069950649159994)","('传播', 0.8295569814018027)","('根基', 0.8206273020146857)","('科研人员', 0.8168821166391009)","('粒度', 0.7446687770331292)"
"('高校', 0.8063173701676675)","('教师', 0.8286339569281892)","('效能', 0.8188377554799563)","('学会', 0.8163064116235387)","('安装', 0.7429937555949632)"
"('办法', 0.8037220810941624)","('站稳', 0.8249228870636987)","('亚太地区', 0.8157331520405008)","('策略', 0.8157689463399519)","('字符串', 0.7167395183703144)"
"('书记', 0.7945720213816937)","('疑惑', 0.8241880938653354)","('完善', 0.8151500003527339)","('组织', 0.8156236223448001)","('建议', 0.7069193257576745)"
"('新思路', 0.7926908581809721)","('应急', 0.8233365622996763)","('乡村', 0.81470688318163)","('成果奖', 0.8141179958759391)","('预料', 0.7038821931616216)"
"('工作', 0.7893488958685363)","('解决', 0.821825288463747)","('交织', 0.8146341998266449)","('扩散', 0.8123095608452553)","('默认', 0.6987222116007084)"
"('应有', 0.7852736426399636)","('建言', 0.8174220169503547)","('面临', 0.8114617415540014)","('事件', 0.808891155063754)","('新建', 0.6941136956094771)"
"('攻坚克难', 0.7845729245394772)","('传播学', 0.8166750555765023)","('疫情', 0.8107514586474441)","('标签', 0.8082924916365215)","('返回', 0.6940487611412609)"
"('主体', 0.78394538315765)","('散射', 0.8158942174752625)","('能源供应', 0.8045473083226993)","('项目', 0.8068325083381952)","('接受', 0.6876784156636947)"
