5,4,1,3,2
"('新闻史', 0.05720443478189301)","('界面设计', 0.04441111070926518)","('高质', 0.026783579290944125)","('中文信息', 0.0454270511503268)","('自定义', 0.23707528450555557)"
"('攻坚克难', 0.05435197724855967)","('十余篇', 0.04441111070926518)","('国步', 0.026783579290944125)","('业生', 0.0454270511503268)","('分词器', 0.22138458338703704)"
"('务虚会', 0.05149951971563786)","('高质', 0.04441111070926518)","('体平', 0.026783579290944125)","('技术奖', 0.0454270511503268)","('词模式', 0.22138458338703704)"
"('导师制', 0.05149951971563786)","('表相', 0.04219658297571885)","('煤制油', 0.026783579290944125)","('情报研究', 0.0454270511503268)","('倒排', 0.22138458338703704)"
"('鹤立', 0.050581233495884774)","('体视', 0.04219658297571885)","('平化', 0.02544803559036609)","('合发', 0.0454270511503268)","('分词', 0.2167306124925926)"
"('进校', 0.050581233495884774)","('合情', 0.04219658297571885)","('速变', 0.02544803559036609)","('信息资源管理', 0.04316186428562092)","('迭代', 0.20389455359444444)"
"('中青', 0.050581233495884774)","('本科专业', 0.04219658297571885)","('化形', 0.02544803559036609)","('数据挖掘', 0.04316186428562092)","('解码', 0.20289330875555556)"
"('新学期', 0.04983093902345679)","('亦师亦友', 0.04219658297571885)","('变重', 0.02544803559036609)","('特鲁瓦', 0.04316186428562092)","('粒度', 0.19055110628333335)"
"('家电网', 0.04983093902345679)","('变重', 0.04219658297571885)","('大规', 0.024666792607514452)","('国家自然科学基金', 0.0418368149127451)","('加载', 0.18573104890925926)"
"('续加', 0.04919657408600823)","('数据挖掘', 0.04219658297571885)","('流电', 0.024666792607514452)","('科学基金', 0.0418368149127451)","('映射', 0.18287640668962962)"
"('各系所', 0.04919657408600823)","('科学基金', 0.04090116729488818)","('中心化', 0.024666792607514452)","('目部', 0.0418368149127451)","('合用', 0.1809915419801852)"
"('人民邮电', 0.04919657408600823)","('国家自然科学基金', 0.04090116729488818)","('补短', 0.024666792607514452)","('十一次', 0.04089667742124183)","('搜索引擎', 0.18011648855703705)"
"('人民邮电出版社', 0.04919657408600823)","('西安交大', 0.04090116729488818)","('弱项', 0.024666792607514452)","('十三次', 0.04089667742124183)","('索引', 0.17195476176166669)"
"('香港浸会', 0.04919657408600823)","('理论课', 0.039982055242492015)","('分散式', 0.02411249188998073)","('获工学', 0.04089667742124183)","('词典', 0.1717723118275926)"
"('香港浸会大学', 0.04919657408600823)","('自然科', 0.03926913654792332)","('场主', 0.02411249188998073)","('自然科', 0.040167450129084965)","('词语', 0.1683054314185185)"
"('浸会', 0.04919657408600823)","('育人', 0.03868663956134186)","('力系', 0.023682542850674372)","('科技情报', 0.040167450129084965)","('得分', 0.16604080960833334)"
"('西安交通', 0.04919657408600823)","('情信', 0.03819414537667731)","('施与', 0.023682542850674372)","('入团', 0.040167450129084965)","('默认', 0.16390410453203705)"
"('青年教师', 0.048647062182304524)","('建设网', 0.03819414537667731)","('家安', 0.023682542850674372)","('多维度', 0.040167450129084965)","('延迟', 0.163319875685)"
"('课堂教学', 0.048647062182304524)","('轮数', 0.03819414537667731)","('五发', 0.023682542850674372)","('研究社', 0.039571628048039216)","('接口', 0.16084707211796298)"
"('德智体', 0.048647062182304524)","('奖学', 0.03819414537667731)","('二章', 0.023682542850674372)","('杰出青年', 0.039571628048039216)","('字符串', 0.15958285043037038)"
"('克难', 0.048647062182304524)","('学术前沿', 0.03819414537667731)","('大变局', 0.023682542850674372)","('西安交通', 0.03906786765653594)","('字符', 0.15671478413055556)"
"('科研经费', 0.04772877596296296)","('课堂教学', 0.037767527508945686)","('五章', 0.023331248906936417)","('专委会', 0.03906786765653594)","('误解', 0.1548039649411111)"
"('学科建设', 0.04772877596296296)","('情报学', 0.037391223880511186)","('系统形', 0.02303423410963391)","('实验论', 0.03906786765653594)","('全局', 0.1532714841812963)"
"('引进人才', 0.046978481490534976)","('究问', 0.037391223880511186)","('瓦西', 0.02303423410963391)","('维基', 0.03906786765653594)","('引擎', 0.15223157486962963)"
"('应持', 0.046978481490534976)","('十四五', 0.037391223880511186)","('布式', 0.02303423410963391)","('信息工程', 0.03906786765653594)","('预料', 0.15077362737222225)"
"('务虚', 0.04664908763168724)","('教书育人', 0.037391223880511186)","('蓄力', 0.02303423410963391)","('奖学', 0.03906786765653594)","('构建', 0.14003858469944444)"
"('总支', 0.04634411655308642)","('和文', 0.03675010344792332)","('一十', 0.022776948189402697)","('机信息', 0.03906786765653594)","('搜索', 0.13832123277851852)"
"('党总支', 0.04606019527119341)","('学理', 0.03675010344792332)","('求进', 0.022776948189402697)","('青年科', 0.03906786765653594)","('定义', 0.1332188021364815)"
"('西安交通大学', 0.04606019527119341)","('交大', 0.036216384327476044)","('十四五', 0.02255000592408478)","('社科', 0.03863149055653595)","('代码', 0.13286007869666666)"
"('新闻系', 0.04554512060864197)","('互设', 0.036216384327476044)","('集中式', 0.02255000592408478)","('优秀成果', 0.0382465786751634)","('函数', 0.13118410687740742)"
"('意见建议', 0.04554512060864197)","('文社', 0.036216384327476044)","('国计', 0.02255000592408478)","('情报学', 0.0382465786751634)","('输入', 0.1307431689387037)"
"('立传', 0.04554512060864197)","('盲区', 0.03597961764345048)","('西电东', 0.022346999150289017)","('图标', 0.0382465786751634)","('新建', 0.13064440327240742)"
"('科特', 0.04530990079876543)","('人之初', 0.03597961764345048)","('七章', 0.022163357185356454)","('公室', 0.0382465786751634)","('参数', 0.1295356365862963)"
"('主渠道', 0.044876318429629636)","('传播学', 0.035759193133865816)","('四章', 0.022163357185356454)","('成果奖', 0.03790226326470588)","('模型', 0.12607599881481482)"
"('校友', 0.04467553586131687)","('可视化', 0.035759193133865816)","('启新', 0.022163357185356454)","('十五次', 0.03790226326470588)","('安装', 0.12412026064574073)"
"('理工科', 0.04430116640329218)","('信息科学', 0.035759193133865816)","('故障诊断', 0.02199570520655106)","('抗压', 0.03759079208888889)","('循环', 0.12379078980222223)"
"('校庆', 0.044126023957201645)","('反哺', 0.035759193133865816)","('六章', 0.02199570520655106)","('情报工作', 0.03730644118366013)","('适合', 0.1234537124487037)"
"('各系', 0.043958032210288066)","('易懂', 0.03500395742108626)","('加快调整', 0.02199570520655106)","('文社', 0.03704486370751634)","('返回', 0.12305715514296296)"
"('学年', 0.04364132010699589)","('时代背景', 0.03468420196261981)","('成效显著', 0.021841480336223507)","('互设', 0.03704486370751634)","('可用', 0.12222601551314814)"
"('凝练', 0.04349165901975309)","('科研项目', 0.03468420196261981)","('八章', 0.021841480336223507)","('基金项目', 0.036802680792156865)","('错误', 0.12022494602)"
"('交叉学科', 0.04349165901975309)","('母校', 0.03425758409456869)","('化开', 0.021841480336223507)","('科学出版社', 0.036802680792156865)","('用来', 0.11673672618203704)"
"('学术会议', 0.04349165901975309)","('多维', 0.03412716238690096)","('值守', 0.021698690409248555)","('特聘', 0.036802680792156865)","('四个', 0.11367605638592593)"
"('产学研', 0.0433472502962963)","('获得好评', 0.03412716238690096)","('扁平化', 0.02156575616743738)","('西安交通大学', 0.036577213891830065)","('模式', 0.11167614269462964)"
"('新思路', 0.042942147116049385)","('成就感', 0.03412716238690096)","('三章', 0.02156575616743738)","('可视化', 0.036577213891830065)","('用于', 0.09780499139166667)"
"('基础学科', 0.042942147116049385)","('术前', 0.0340018565942492)","('新机', 0.02156575616743738)","('信息学', 0.036168184012745096)","('建议', 0.09688189094907408)"
"('短板', 0.0424574432654321)","('助学', 0.033881280466453674)","('大项', 0.021441404488824665)","('会通', 0.036168184012745096)","('接受', 0.09674557324092593)"
"('史论', 0.042128049406584364)","('学术会议', 0.03376508990990416)","('多极', 0.021441404488824665)","('进步奖', 0.035981391810784316)","('采用', 0.09544078393351851)"
"('求人', 0.04127356642427984)","('交叉学科', 0.03376508990990416)","('可再生', 0.021441404488824665)","('信息检索', 0.0356370764)","('方法', 0.09199638944518519)"
"('加大力度', 0.04118871339053498)","('本科生', 0.03365297706709265)","('智能机', 0.021324594042196533)","('项目部', 0.0356370764)","('控制', 0.09178496911722223)"
"('攻坚', 0.040865784931769546)","('言及', 0.03333847204217252)","('多极化', 0.021324594042196533)","('专题研究', 0.03547763141928104)","('相关', 0.08955018394481483)"
"('人才培养', 0.040713351714979425)","('主讲', 0.032962168413738016)","('力持', 0.021214462223699423)","('科研项目', 0.03547763141928104)","('结构', 0.08946258536666667)"
"('主持会议', 0.04063920148658436)","('中观', 0.03287463175495208)","('迭代', 0.021214462223699423)","('信息管理', 0.03518033802614379)","('方式', 0.08891652461796297)"
"('工科', 0.04056636372074074)","('学术论文', 0.032706440913099044)","('数十倍', 0.021214462223699423)","('会社', 0.035041254318954246)","('两个', 0.07664465313166666)"
"('长孙', 0.04028725838600823)","('通俗易懂', 0.032625553347923324)","('广泛支持', 0.021214462223699423)","('赴法', 0.035041254318954246)","('一个', 0.052176869854259254)"
"('中青年', 0.040220342662263375)","('舆情', 0.032546663211821085)","('变局', 0.021110286460115608)","('多维', 0.03490784910816993)",
"('邮电', 0.03996305724259259)","('热点问题', 0.032469674229073486)","('氢能', 0.021011455449710986)","('第十五次', 0.03477967684313726)",
"('国家电网', 0.03978012817851852)","('枯燥', 0.03239449692108626)","('五加', 0.021011455449710986)","('第十一次', 0.03453749392745098)",
"('继续加强', 0.03972091526720165)","('受众', 0.03197718004440894)","('储能', 0.020917447426396917)","('拔尖', 0.03453749392745098)",
