5,4,1,3,2
"('人才', 0.02933935840976359)","('研究', 0.015050321670748427)","('能源', 0.1252480865707471)","('研究', 0.01604245760587409)","('分词', 0.16094379124341004)"
"('建设', 0.010065529532334793)","('媒体', 0.013279695591836846)","('发展', 0.005643708496273788)","('信息', 0.013509437983893969)","('字符', 0.09656627474604601)"
"('引进', 0.03171306231397242)","('传播', 0.011509069512925268)","('全球', 0.02348401623201508)","('科学', 0.01097641836191385)","('字符串', 0.09656627474604601)"
"('发展', 0.0038473026088656857)","('科学', 0.008853130394557897)","('体系', 0.006459857109881206)","('社会', 0.009287738613927104)","('参数', 0.08047189562170502)"
"('会议', 0.015798116066795778)","('信息', 0.008853130394557897)","('加快', 0.018787212985612065)","('陕西', 0.0067547189919469845)","('模式', 0.03665162927496621)"
"('工作', 0.007549147149251094)","('学生', 0.012704204254754317)","('推动', 0.009804667364412165)","('媒体', 0.0067547189919469845)","('方法', 0.015324768712979721)"
"('合作', 0.013541242342967809)","('分析', 0.006197191276190529)","('产业', 0.002170657113951457)","('社会科学', 0.012116241082633455)","('用来', 0.048283137373023005)"
"('学科', 0.011284368619139841)","('项目', 0.006197191276190529)","('转型', 0.004969120853754774)","('项目', 0.0067547189919469845)","('控制', 0.027488721956224652)"
"('主任', 0.011284368619139841)","('社会', 0.005311878236734739)","('智能', 0.004472208768379296)","('西安', 0.005910379117953612)","('分词器', 0.048283137373023005)"
"('新闻', 0.011284368619139841)","('基金', 0.009528153191065739)","('变革', 0.01409040973920905)","('中国', 0.010601710947304274)","('输入', 0.032188758248682)"
"('思路', 0.019820663946232765)","('课程', 0.009528153191065739)","('构建', 0.003975296683003819)","('委员', 0.018621595681055706)","('用于', 0.018325814637483104)"
"('团队', 0.011284368619139841)","('数据', 0.004426565197278949)","('提升', 0.007130667174117939)","('基金', 0.009087180811975093)","('返回', 0.032188758248682)"
"('未来', 0.01585653115698621)","('基础', 0.0019336529576621296)","('系统', 0.01252480865707471)","('情报', 0.009087180811975093)","('模型', 0.018325814637483104)"
"('传播', 0.005032764766167396)","('学习', 0.007940127659221448)","('二十', 0.01252480865707471)","('优秀成果', 0.013301139772182648)","('一个', 0.032188758248682)"
"('学生', 0.009027494895311874)","('文化', 0.006352102127377158)","('技术', 0.0034783845976283415)","('优秀', 0.0075726506766459105)","('接受', 0.018325814637483104)"
"('学院', 0.005032764766167396)","('本科', 0.011157281888624611)","('保障', 0.010959207574940372)","('成果', 0.0075726506766459105)","('索引', 0.032188758248682)"
"('方向', 0.0021984586336375347)","('知识', 0.006352102127377158)","('经济', 0.006239333777353196)","('交互', 0.0075726506766459105)","('相关', 0.018325814637483104)"
"('专业', 0.003774573574625547)","('网络', 0.003541252157823159)","('水平', 0.009393606492806033)","('学会', 0.013301139772182648)","('采用', 0.032188758248682)"
"('院长', 0.011892398367739657)","('数字', 0.003541252157823159)","('生产', 0.009393606492806033)","('三等', 0.013301139772182648)","('结构', 0.009162907318741552)"
"('国际', 0.0067706211714839044)","('科学基金', 0.006352102127377158)","('新能源', 0.009393606492806033)","('三等奖', 0.013301139772182648)","('迭代', 0.009162907318741552)"
"('续加', 0.011892398367739657)","('陕西', 0.003541252157823159)","('能力', 0.002981472512252864)","('科研', 0.004221699369966866)","('以使', 0.016094379124341)"
"('背景', 0.0067706211714839044)","('自然科', 0.006352102127377158)","('十四', 0.005348000380588454)","('委会', 0.013301139772182648)","('循环', 0.016094379124341)"
"('鹤立', 0.011892398367739657)","('自然科学', 0.006352102127377158)","('我国', 0.009393606492806033)","('博士', 0.0075726506766459105)","('得分', 0.016094379124341)"
"('教学', 0.0067706211714839044)","('学科', 0.006352102127377158)","('时期', 0.007828005410671694)","('大学', 0.0075726506766459105)","('新建', 0.016094379124341)"
"('媒体', 0.003774573574625547)","('自然', 0.006352102127377158)","('世界', 0.007828005410671694)","('西安交通', 0.006058120541316728)","('词语', 0.016094379124341)"
